ship,cruise,station,cast,longitude,latitude,year,month,day,timehr,timemin,depth,sala,phnbs,phtotal,domm(uM),doml(ml//),ntra(uM),phos(uM),slca(uM),ntri(uM),amon,chla,poc,pon,doc,dic,NTA(mol/kg)
OR1,191,1,1,123,26.4167,1988,12,18,23,50,0,34.382,8.248,,214.3728,4.8,0.1,,,,,,,,,,2317
OR1,191,1,1,123,26.4167,1988,12,18,23,50,4,34.385,8.248,,215.71263,4.83,0.1,,,,,,,,,,2317
OR1,191,1,1,123,26.4167,1988,12,18,23,50,24,34.412,8.251,,219.73212,4.92,0.2,,,,,,,,,,2309
OR1,191,1,1,123,26.4167,1988,12,18,23,50,51,34.464,8.245,,216.60585,4.85,0.4,,2.9,,,,,,,,2306
OR1,191,1,1,123,26.4167,1988,12,18,23,50,74,34.435,8.231,,213.03297,4.77,1.1,0.3,10.3,,,,,,,,2304
OR1,191,1,1,123,26.4167,1988,12,18,23,50,100,34.565,8.139,,167.47875,3.75,6.9,0.63,10.7,,,,,,,,2304
OR1,191,2,1,123,26.25,1988,12,19,1,40,0,34.669,8.256,,214.3728,4.8,0.1,,,,,,,,,,2317
OR1,191,2,1,123,26.25,1988,12,19,1,40,4,34.67,8.256,,214.3728,4.8,0.1,,,,,,,,,,2318
OR1,191,2,1,123,26.25,1988,12,19,1,40,25,34.675,8.261,,214.3728,4.8,0.3,,,,,,,,,,2298
OR1,191,2,1,123,26.25,1988,12,19,1,40,50,34.675,8.257,,212.13975,4.75,0.4,,2.9,,,,,,,,2293
OR1,191,2,1,123,26.25,1988,12,19,1,40,75,34.654,8.248,,208.56687,4.67,0.8,,4.1,,,,,,,,2311
OR1,191,2,1,123,26.25,1988,12,19,1,40,102,34.556,8.141,,172.39146,3.86,6.1,0.58,5.6,,,,,,,,2301
OR1,191,3,1,123,26.0833,1988,12,19,2,50,0,34.391,8.252,,214.3728,4.8,0.1,,,,,,,,,,2314
