SHIP,CRUISE,STATION,CAST,CTD_CAST,LONGITUDE,LATITUDE,YEAR,MONTH,DAY,TIMEHR,TIMEMIN,DEPTH,SALA,PHNBS,PHTOTAL,DOMM,DOML,NTRA,PHOS,SLCA,NTRI,AMON,CHLA,POC,PON,DOC,DIC,ALK
OR3,561,S1,1,561S01D,116.0058,17.9972,1999,9,19,0,55,2,,,,239,,0,0,2,0,,0.24,92.8,20.5,,1878.2,2199.2
OR3,561,S1,1,,116.0058,17.9972,1999,9,19,0,55,5,,,,248,,0,0,2,0,,0.28,110,,,1878.4,2197.5
OR3,561,S1,1,,116.0058,17.9972,1999,9,19,0,55,10,,,,247,,0,0,2,0,,0.27,104.4,17.5,,1878.6,2198.5
OR3,561,S1,1,,116.0058,17.9972,1999,9,19,0,55,20,,,,225,,0,0,2,0,,0.33,113.7,19.5,,1880.1,2198.6
OR3,561,S1,1,,116.0058,17.9972,1999,9,19,0,55,30,,,,228,,0,0,2,0,,,104.2,19.6,,1882.1,2200.3
OR3,561,S1,1,,116.0058,17.9972,1999,9,19,0,55,40,,,,222,,0.1,0.02,2,0,,,,,,1885.7,2200.9
OR3,561,S1,2,561S02D,116.0021,18.0003,1999,9,19,2,23,50,,,,240,,0.2,0.03,2,0,,0.48,127.6,19.3,,1914.8,2223.9
OR3,561,S1,2,,116.0021,18.0003,1999,9,19,2,23,60,,,,235,,0.4,0.05,3,0.1,,,126,,,1954.9,2245.6
OR3,561,S1,2,,116.0021,18.0003,1999,9,19,2,23,80,,,,193,,2.5,0.29,6,0.17,,,86.9,12,,2004.5,2260.7
OR3,561,S1,2,,116.0021,18.0003,1999,9,19,2,23,101,,,,164,,8.7,0.65,10,0.02,,0.11,64.4,7.5,,2043.9,2266.7
OR3,561,S1,2,,116.0021,18.0003,1999,9,19,2,23,150,,,,161,,12,0.85,16,0,,0.03,,,,2084.4,2279.6
OR3,561,S1,2,,116.0021,18.0003,1999,9,19,2,23,200,,,,163,,14.1,0.99,20,0,,0.01,64.6,8.3,,2100.2,2284.5
OR3,561,S1,3,561S03D,116.0035,17.9967,1999,9,19,3,18,250,,,,158,,17.5,1.22,28,0,,,,,,2127.4,2288.2
OR3,561,S1,3,,116.0035,17.9967,1999,9,19,3,18,300,,,,143,,21.3,1.49,38,0,,,,,,2152.5,2293.9
OR3,561,S1,3,,116.0035,17.9967,1999,9,19,3,18,400,,,,124,,26,1.82,54,0,,,,,,2191.4,2305.5
OR3,561,S1,3,,116.0035,17.9967,1999,9,19,3,18,500,,,,110,,29.1,2.05,65,0,,,,,,2220.4,2319.9
OR3,561,S1,4,561S04D,116.0351,18.008,1999,9,19,4,36,600,,,,106,,31,2.21,78,0,,,,,,2240.4,2339
OR3,561,S1,4,,116.0351,18.008,1999,9,19,4,36,699,,,,100,,33.5,2.39,90,0,,,,,,2259.1,2342.9
OR3,561,S1,4,,116.0351,18.008,1999,9,19,4,36,801,,,,101,,35.1,2.5,102,0,,,,,,2279.8,2358.6
OR3,561,S1,4,,116.0351,18.008,1999,9,19,4,36,1001,,,,107,,36.8,2.65,115,0,,,,,,2307.5,2388.2
OR3,561,S1,4,,116.0351,18.008,1999,9,19,4,36,1201,,,,109,,37.6,2.7,124,0,,,,,,2330,2402.1
OR3,561,S1,4,,116.0351,18.008,1999,9,19,4,36,1499,,,,113,,38.2,2.73,135,0,,,,,,2343.6,2420
OR3,561,S1,6,561S06D,116.0237,18.0067,1999,9,19,7,20,1800,,,,119,,38.3,2.75,142,0,,,,,,2344.7,2420
OR3,561,S1,6,,116.0237,18.0067,1999,9,19,7,20,2000,,,,120,,38.5,2.77,146,0,,,,,,2345.8,2423.8
OR3,561,S1,6,,116.0237,18.0067,1999,9,19,7,20,2200,,,,123,,38.7,2.79,148,0,,,,,,2347,2424.3
OR3,561,S1,6,,116.0237,18.0067,1999,9,19,7,20,2400,,,,129,,38.9,2.82,149,0,,,,,,2345.1,2423.6
OR3,561,S1,6,,116.0237,18.0067,1999,9,19,7,20,2500,,,,128,,38.9,2.82,150,0,,,,,,2346,2423.9
OR3,561,S1,10,561S110D,116.0266,18.0013,1999,9,19,12,53,2,,,,225,,0,0,2,0,,0.24,,,,1879.2,2197.3
OR3,561,S1,10,,116.0266,18.0013,1999,9,19,12,53,5,,,,225,,0,0,2,0,,0.28,,,,1879.7,2199.9
OR3,561,S1,10,,116.0266,18.0013,1999,9,19,12,53,10,,,,226,,0,0,2,0,,,,,,1879.4,2198.9
OR3,561,S1,10,,116.0266,18.0013,1999,9,19,12,53,19,,,,225,,0,0,2,0,,0.28,,,,1879.6,2197.5
OR3,561,S1,10,,116.0266,18.0013,1999,9,19,12,53,30,,,,224,,0,0,2,0,,0.32,,,,1880.4,2198.8
OR3,561,S1,10,,116.0266,18.0013,1999,9,19,12,53,41,,,,224,,0,0.01,2,0,,0.36,,,,1885.1,2198.9
OR3,561,S1,11,561S111D,116.0076,18.0019,1999,9,19,14,0,51,,,,228,,0.1,0.02,2,0,,0.54,,,,1901,2210.4
OR3,561,S1,11,,116.0076,18.0019,1999,9,19,14,0,61,,,,229,,0.2,0.03,3,0,,,,,,1928.8,2232.4
OR3,561,S1,11,,116.0076,18.0019,1999,9,19,14,0,81,,,,207,,1.3,0.32,4,0.23,,0.2,,,,1982.1,2259.4
OR3,561,S1,11,,116.0076,18.0019,1999,9,19,14,0,102,,,,180,,8,0.61,9,0.04,,0.09,,,,2037.2,2272.1
OR3,561,S1,11,,116.0076,18.0019,1999,9,19,14,0,151,,,,159,,12.3,0.88,14,0,,0.02,,,,2081.2,2289.6
OR3,561,S1,11,,116.0076,18.0019,1999,9,19,14,0,200,,,,158,,14.1,0.99,23,0,,0,,,,2100.8,2285.5
OR3,561,S1,12,561S112D,116.029,18.0086,1999,9,19,14,45,253,,,,160,,17,1.2,29,0,,,,,,2122.9,2294.8
OR3,561,S1,12,,116.029,18.0086,1999,9,19,14,45,300,,,,143,,20.7,1.46,39,0,,,,,,2154,2296.6
OR3,561,S1,12,,116.029,18.0086,1999,9,19,14,45,400,,,,123,,25.3,1.8,53,0,,,,,,2189.8,2300.2
OR3,561,S1,12,,116.029,18.0086,1999,9,19,14,45,490,,,,115,,28.3,2.05,63,0,,,,,,2215.5,2315
OR3,561,S1,13,561S113D,116.003,18.0006,1999,9,19,15,57,600,,,,104,,30.8,2.18,76,0,,,,,,2240.5,2328.4
OR3,561,S1,13,,116.003,18.0006,1999,9,19,15,57,699,,,,102,,33.3,2.35,88,0,,,,,,2257.2,2343.4
OR3,561,S1,13,,116.003,18.0006,1999,9,19,15,57,801,,,,99,,34.9,2.47,101,0,,,,,,2277.2,2355
OR3,561,S1,13,,116.003,18.0006,1999,9,19,15,57,998,,,,106,,36.4,2.63,113,0,,,,,,2307.6,2382.3
OR3,561,S1,13,,116.003,18.0006,1999,9,19,15,57,1198,,,,105,,37.6,2.7,122,0,,,,,,2324,2401.8
OR3,561,S1,13,,116.003,18.0006,1999,9,19,15,57,1500,,,,106,,38,2.75,136,0,,,,,,2340.8,2420.3
OR3,561,S1,18,561S118D,115.9999,17.9993,1999,9,19,22,38,5,,,,,,,,,,,0.22,,,,,
OR3,561,S1,18,,115.9999,17.9993,1999,9,19,22,38,10,,,,,,,,,,,0.24,,,,,
OR3,561,S1,18,,115.9999,17.9993,1999,9,19,22,38,20,,,,,,,,,,,0.26,,,,,
OR3,561,S1,19,561S119D,116.0228,17.9859,1999,9,19,23,7,50,,,,,,,,,,,0.38,,,,,
OR3,561,S1,19,,116.0228,17.9859,1999,9,19,23,7,61,,,,,,,,,,,0.36,,,,,
OR3,561,S1,19,,116.0228,17.9859,1999,9,19,23,7,101,,,,,,,,,,,0.07,,,,,
OR3,561,S1,19,,116.0228,17.9859,1999,9,19,23,7,150,,,,,,,,,,,0.02,,,,,
OR3,561,S1,19,,116.0228,17.9859,1999,9,19,23,7,201,,,,,,,,,,,0,,,,,
OR3,561,S1,23,561S123D,116.023,18.0004,1999,9,20,4,0,1800,,,,,,,,,,,,,,,2345.6,2420.3
OR3,561,S1,24,561S124D,116.019,17.9974,1999,9,20,7,25,2000,,,,,,,,,,,,,,,2345,2420.1
OR3,561,S1,25,561S125D,116.0434,17.9948,1999,9,20,8,0,2200,,,,,,,,,,,,,,,2345.1,2422.2
OR3,561,S1,26,561S126D,116.0009,17.9996,1999,9,20,8,35,2400,,,,,,,,,,,,,,,2343,2425.5
OR3,561,S1,27,561S127D,116.0218,17.9896,1999,9,20,9,25,2505,,,,,,,,,,,,,,,2344,2425
OR3,585,S1,1,,116.0147,18.0046,1999,11,23,18,26,1,,,,231,,0,0,2,0,,0.15,100,12.6,,1862.9,2176.6
OR3,585,S1,1,,116.0147,18.0046,1999,11,23,18,26,5,,,,224,,0,0,2,0,,0.14,125.2,17.9,,1862.8,2180.7
OR3,585,S1,1,,116.0147,18.0046,1999,11,23,18,26,11,,,,228,,0,0,2,0,,0.15,,,,1862.3,2180.5
OR3,585,S1,1,,116.0147,18.0046,1999,11,23,18,26,20,,,,224,,0,0.01,2,0,,,51.4,5.9,,1862.6,2179.9
OR3,585,S1,1,,116.0147,18.0046,1999,11,23,18,26,30,,,,239,,0,0.02,2,0,,,41.6,4.5,,1863.2,2181.7
OR3,585,S1,1,,116.0147,18.0046,1999,11,23,18,26,40,,,,226,,0,0.04,3,0,,,14,,,1863.3,2180.1
OR3,585,S1,2,,116.0062,18.9972,1999,11,23,18,38,51,,,,217,,0.4,0.1,5,0.1,,,22,,,1929.4,2231.2
OR3,585,S1,2,,116.0062,18.9972,1999,11,23,18,38,61,,,,205,,0.9,0.18,6,0.2,,0.47,41.5,4,,1977.7,2256.9
OR3,585,S1,2,,116.0062,18.9972,1999,11,23,18,38,81,,,,188,,3.3,0.3,6,0.1,,0.2,21.9,2,,2009.8,2265.1
OR3,585,S1,2,,116.0062,18.9972,1999,11,23,18,38,101,,,,184,,7.8,0.56,9,0,,,21.6,0.8,,2030.7,2284.7
OR3,585,S1,2,,116.0062,18.9972,1999,11,23,18,38,150,,,,177,,13,0.95,15,0,,0.03,12,,,2093.8,2277.9
OR3,585,S1,2,,116.0062,18.9972,1999,11,23,18,38,198,,,,168,,15.3,1.08,19,0,,0,,,,2112.6,2289.5
OR3,585,S1,3,585S1D01,116.0044,17.999,1999,11,23,19,13,249,,,,154,,18.3,1.3,30,0,,,,,,2137.1,2294.6
OR3,585,S1,3,,116.0044,17.999,1999,11,23,19,13,303,,,,143,,22.5,1.53,35,0,,,,,,2164.5,2300.5
OR3,585,S1,3,,116.0044,17.999,1999,11,23,19,13,399,,,,131,,26.8,1.9,50,0,,,,,,2206.5,2312.4
OR3,585,S1,3,,116.0044,17.999,1999,11,23,19,13,494,,,,121,,30,2.1,60,0,,,,,,2222.8,2324.6
OR3,585,S1,4,585S1D02,115.9769,18.002,1999,11,23,20,18,600,,,,114,,31.8,2.25,80,0,,,,,,2240.9,2335.6
OR3,585,S1,4,,115.9769,18.002,1999,11,23,20,18,700,,,,108,,34.2,2.4,86,0,,,,,,2255.2,2349.3
OR3,585,S1,4,,115.9769,18.002,1999,11,23,20,18,799,,,,102,,35.5,2.52,99,0,,,,,,2278.1,2361.5
OR3,585,S1,4,,115.9769,18.002,1999,11,23,20,18,999,,,,110,,37,2.65,112,0,,,,,,2309.7,2389.6
OR3,585,S1,4,,115.9769,18.002,1999,11,23,20,18,1199,,,,115,,37.6,2.72,123,0,,,,,,2329.5,2403.1
OR3,585,S1,4,,115.9769,18.002,1999,11,23,20,18,1501,,,,119,,38.1,2.76,132,0,,,,,,2333.9,2418.8
OR3,585,S1,6,585S1D04,115.993,18.0114,1999,11,23,22,30,1798,,,,120,,38.5,2.77,140,0,,,,,,2342.4,2418.7
OR3,585,S1,6,,115.993,18.0114,1999,11,23,22,30,2000,,,,122,,38.6,2.76,145,0,,,,,,2344.7,2425.6
OR3,585,S1,6,,115.993,18.0114,1999,11,23,22,30,2200,,,,123,,38.8,2.79,146,0,,,,,,2344.4,2426.5
OR3,585,S1,6,,115.993,18.0114,1999,11,23,22,30,2399,,,,124,,39,2.81,147,0,,,,,,2343.5,2427.3
OR3,585,S1,6,,115.993,18.0114,1999,11,23,22,30,2499,,,,126,,39,2.83,148,0,,,,,,2341.9,2427
OR3,585,S1,10,,115.9629,18.0147,1999,11,24,4,15,2,,,,224,,0,0,2,0,,0.17,,,,1862.6,2175.8
OR3,585,S1,10,,115.9629,18.0147,1999,11,24,4,15,5,,,,223,,0,0,2,0,,0.17,,,,1863,2178.5
OR3,585,S1,10,,115.9629,18.0147,1999,11,24,4,15,11,,,,223,,0,0,2,0,,0.16,,,,1862.9,2177.3
OR3,585,S1,10,,115.9629,18.0147,1999,11,24,4,15,21,,,,222,,0,0,2,0,,0.13,,,,1862.7,2177.8
OR3,585,S1,10,,115.9629,18.0147,1999,11,24,4,15,30,,,,223,,0,0.02,2,0,,0.16,,,,1862.5,2178.5
OR3,585,S1,10,,115.9629,18.0147,1999,11,24,4,15,40,,,,224,,0,0.03,3,0,,0.16,,,,1863.6,2177.3
OR3,585,S1,11,,115.9737,18.0099,1999,11,24,4,32,50,,,,212,,0.3,0.08,4,0,,,,,,1963.8,2235
